OS with version,No. of Instances,Machine Family,with sud pricing_url,one_year_pricing_url,three_year_pricing_url,sud_pricing,one_year_pricing,three_year_pricing
win,2,general purpose,https://cloud.google.com/products/calculator?dl=CjhDaVJqWlRNeVpUVm1OUzAyTlRRMkxUUTRNamt0WVdabU5DMHpOakF4TlRKbE1qQmlNbU1RQVE9PRAIGiRGRUExQ0I3OC0zM0FBLTREMzYtOEJEOC1FQUIwMjE5NUJDMzE,https://cloud.google.com/products/calculator?dl=CjhDaVJqWlRNeVpUVm1OUzAyTlRRMkxUUTRNamt0WVdabU5DMHpOakF4TlRKbE1qQmlNbU1RQVE9PRAIGiRGRUExQ0I3OC0zM0FBLTREMzYtOEJEOC1FQUIwMjE5NUJDMzE,https://cloud.google.com/products/calculator?dl=CjhDaVJqWlRNeVpUVm1OUzAyTlRRMkxUUTRNamt0WVdabU5DMHpOakF4TlRKbE1qQmlNbU1RQVE9PRAIGiRGRUExQ0I3OC0zM0FBLTREMzYtOEJEOC1FQUIwMjE5NUJDMzE,$462.82,$443.39,$393.48
win,4,general purpose,https://cloud.google.com/products/calculator?dl=CjhDaVE1WldJeVlURXlZaTA0TWpoakxUUTJOR010WVRJNE9TMHpPVFl6TUdOa01XUmhaRE1RQVE9PRAIGiRDMTdFRkY1Ri02MDEyLTQ5QjMtODM1NS1EQkRCRjIxRkQ0QzI,https://cloud.google.com/products/calculator?dl=CjhDaVE1WldJeVlURXlZaTA0TWpoakxUUTJOR010WVRJNE9TMHpPVFl6TUdOa01XUmhaRE1RQVE9PRAIGiRDMTdFRkY1Ri02MDEyLTQ5QjMtODM1NS1EQkRCRjIxRkQ0QzI,https://cloud.google.com/products/calculator?dl=CjhDaVE1WldJeVlURXlZaTA0TWpoakxUUTJOR010WVRJNE9TMHpPVFl6TUdOa01XUmhaRE1RQVE9PRAIGiRDMTdFRkY1Ri02MDEyLTQ5QjMtODM1NS1EQkRCRjIxRkQ0QzI,$926.04,$887.19,$787.35
rhel,5,general purpose,https://cloud.google.com/products/calculator?dl=CjhDaVJrT0dNNE1UazBPQzFrT0RKbUxUUTFPR0V0WVRGa09DMWpObU14T1RobE5ETTNNemtRQVE9PRAIGiQzMjEzQkJBMi1ERUQxLTRDNzYtQTAyRS01ODJDN0E0OTNDMUM,https://cloud.google.com/products/calculator?dl=CjhDaVJrT0dNNE1UazBPQzFrT0RKbUxUUTFPR0V0WVRGa09DMWpObU14T1RobE5ETTNNemtRQVE9PRAIGiQzMjEzQkJBMi1ERUQxLTRDNzYtQTAyRS01ODJDN0E0OTNDMUM,https://cloud.google.com/products/calculator?dl=CjhDaVJrT0dNNE1UazBPQzFrT0RKbUxUUTFPR0V0WVRGa09DMWpObU14T1RobE5ETTNNemtRQVE9PRAIGiQzMjEzQkJBMi1ERUQxLTRDNzYtQTAyRS01ODJDN0E0OTNDMUM,"$2,705.00","$1,939.54","$1,567.19"
rhel,20,general purpose,https://cloud.google.com/products/calculator?dl=CjhDaVJsTlRJM00yTXdNQzAwT1RCakxUUmhaREl0WVRVM1ppMHlaV1UxTUdFME16TXdaR1FRQVE9PRAIGiQzMjM3Qjk2QS0xRjU1LTQxOTEtQUI1OC0yN0IwOUFCODc5RDg,https://cloud.google.com/products/calculator?dl=CjhDaVJsTlRJM00yTXdNQzAwT1RCakxUUmhaREl0WVRVM1ppMHlaV1UxTUdFME16TXdaR1FRQVE9PRAIGiQzMjM3Qjk2QS0xRjU1LTQxOTEtQUI1OC0yN0IwOUFCODc5RDg,https://cloud.google.com/products/calculator?dl=CjhDaVJsTlRJM00yTXdNQzAwT1RCakxUUmhaREl0WVRVM1ppMHlaV1UxTUdFME16TXdaR1FRQVE9PRAIGiQzMjM3Qjk2QS0xRjU1LTQxOTEtQUI1OC0yN0IwOUFCODc5RDg,"$4,775.18","$4,775.18","$4,775.18"
ubuntu,6,general purpose,https://cloud.google.com/products/calculator?dl=CjhDaVEyT1dVMFlXSTRPUzFoT0RBM0xUUTFOalF0T1RJelpTMWxOMlkzTnpjNU5qbGtaVElRQVE9PRAIGiQzQTlENTczNC1GNTI1LTRGNDItQUQ4Ri0xODhCRUQ1OUNBRDI,https://cloud.google.com/products/calculator?dl=CjhDaVEyT1dVMFlXSTRPUzFoT0RBM0xUUTFOalF0T1RJelpTMWxOMlkzTnpjNU5qbGtaVElRQVE9PRAIGiQzQTlENTczNC1GNTI1LTRGNDItQUQ4Ri0xODhCRUQ1OUNBRDI,https://cloud.google.com/products/calculator?dl=CjhDaVEyT1dVMFlXSTRPUzFoT0RBM0xUUTFOalF0T1RJelpTMWxOMlkzTnpjNU5qbGtaVElRQVE9PRAIGiQzQTlENTczNC1GNTI1LTRGNDItQUQ4Ri0xODhCRUQ1OUNBRDI,$583.74,$525.46,$375.71
